# a
dvigal (dvigalo), sam
gibal (gibalo), sam
godal (godalo), sam
igral (igralo), sam
kazal (kazalo), sam
kukal (kukalo), sam
letal (letalo), sam
mehčal (mehčalo), sam
nabodal (nabodalo), sam
nakoval (nakovalo), sam
naslonjal (naslonjalo), sam
nihal (nihalo), sam
obuval (obuvalo), sam
odvajal (odvajalo), sam
ogledal (ogledalo), sam
ogrinjal (ogrinjalo), sam
padal (padalo), sam
pihal (pihalo), sam
pisal (pisalo), sam
pogrinjal (pogrinjalo), sam
pokrival (pokrivalo), sam
pomagal (pomagalo), sam
pomirjeval (pomirjevalo), sam
pregrinjal (pregrinjalo), sam
računal (računalo), sam
skropucal (skropucalo), sam
slušal (slušalo), sam
spričeval (spričevalo), sam
stikal (stikalo), sam
stojal (stojalo), sam
stopal (stopalo), sam
tipal (tipalo), sam
tnal (tnalo), sam
tolkal (tolkalo), sam
varoval (varovalo), sam
vešal (vešala), sam
zijal (zijala), sam
zrcal (zrcalo), sam

# alj
dalj, pris
kralj, sam
valj, sam
halj (halja), sam
medalj (medalja), sam
razdalj (razdalja), sam

# am
avtogram, sam
anagram, sam
bam, medm
diagram, sam
epigram, sam
flam, sam
gram, sam
hologram, sam
hram, sam
imam (imeti), glag
kam, pris
kilogram, sam
kriptogram, sam
makadam, sam
pentagram, sam
piktogram, sam
program, sam
sam, zaim
spektrogram, sam
sram, sam
telegram, sam
tram, sam
seznam, sam
tam, pris
dram (drama), sam
reklam (reklama), sam
dam (dati), glag
dioram (diorama), sam
fam (fama), sam
jam (jama), sam
lam (lama), sam
mam (mama), sam
melodram (melodrama), sam
omam (omama), sam
panoram (panorama), sam
pižam (pižama), sam
ram (rama), sam
salam (salama), sam
imam (imeti), glag
poznam (poznati), glag
predam (predati), glag
priznam (priznati), glag
barantam (barantati), glag
bezljam (bezljati), glag
podam (podati), glag
izdam (izdati), glag
nam (mi), zaim

# amem
vzamem (vzeti), glag
samem (sam), pris

# an
balvan, sam
ban, sam
barjan, sam
bolan, prid
bran, sam
bršljan, sam
butan, sam
celofan, sam
česan, prid
član, sam
četverostran, prid
coprijan, sam
dan, sam
darovan, prid
dlan, sam
dodan, prid
dognan, prid
dokončan, prid
državljan, sam
dvorjan, sam
dvostran, prid
ekran, sam
etan, sam
fazan, sam
faran, sam
gavran, sam
goban, sam
gorjan, sam
grobijan, sam
gurman, sam
human, prid
huligan, sam
hurikan, sam
igran, prid
imenovan, prid
iskan, prid
izbojevan, prid
izbran, prid
izdan, prid
izglasovan, prid
izgnan, prid
izigran, prid
izklesan, prid
izkopan, prid
izoblikovan, prid
izpeljan, prid
izpodkopan, prid
izpran, prid
izravnan, prid
izsesan, prid
izžgan, prid
kan, sam
kankan, sam
kapitan, sam
kaplan, sam
karavan, sam
kastelan, sam
katamaran, sam
katran, sam
kaznovan, prid
klan, sam
kleptoman, sam
končan, prid
Koran, sam
kovan, prid
krajan, sam
kristjan, sam
lan, sam
malikovan, prid
maščevan, prid
megaloman, sam
meridijan, sam
metan, sam
modrijan, sam
musliman, sam
nabran, prid
nacefran, prid
